scenario_id,scenario_before,prototype_before,evaluation_id_before,scenario_after,prototype_after,evaluation_id_after,clinician_id
s01,A,assertive-proactive,p001,D,non-assertive-reactive,p004,c01
s02,B,assertive-reactive,p015,C,non-assertive-proactive,p018,c01
s03,C,non-assertive-proactive,p025,B,assertive-reactive,p025,c01
s04,C,non-assertive-proactive,p006,B,assertive-proactive,p006,c02
s05,A,assertive-proactive,p012,D,non-assertive-reactive,p012,c02
s06,D,non-assertive-reactive,p026,A,assertive-proactive,p029,c02
s07,B,assertive-reactive,p007,C,non-assertive-proactive,p007,c03
s08,D,non-assertive-reactive,p017,A,assertive-proactive,p017,c03
s09,A,assertive-proactive,p027,D,non-assertive-reactive,p028,c03
s10,D,non-assertive-reactive,p008,A,assertive-proactive,p001,c04
s11,C,non-assertive-proactive,p020,B,assertive-reactive,p015,c04
s12,B,assertive-reactive,p030,C,non-assertive-proactive,p030,c04
s13,D,non-assertive-reactive,p004,A,assertive-proactive,p004,c05
s14,C,non-assertive-proactive,p014,B,assertive-reactive,p014,c05
s15,B,assertive-reactive,p024,C,non-assertive-proactive,p029,c05
s16,C,non-assertive-proactive,p006,D,non-assertive-reactive,p010,c06
s17,A,assertive-proactive,p016,B,assertive-reactive,p011,c06
s18,D,non-assertive-reactive,p026,A,assertive-proactive,p026,c06
s19,B,assertive-reactive,p007,A,assertive-proactive,p009,c07
s20,D,non-assertive-reactive,p017,C,non-assertive-proactive,p014,c07
s21,A,assertive-proactive,p023,D,non-assertive-reactive,p023,c07
s22,A,assertive-proactive,p009,D,non-assertive-reactive,p009,c08
s23,B,assertive-reactive,p015,C,non-assertive-proactive,p015,c08
s24,C,non-assertive-proactive,p025,B,assertive-reactive,p024,c08
s25,D,non-assertive-reactive,p004,A,assertive-proactive,p005,c09
s26,B,assertive-reactive,p011,C,non-assertive-proactive,p011,c09
s27,C,non-assertive-proactive,p021,D,non-assertive-reactive,p022,c09
s28,A,assertive-proactive,p005,D,non-assertive-reactive,p005,c10
s29,C,non-assertive-proactive,p018,B,assertive-reactive,p018,c10
s30,B,assertive-reactive,p028,A,assertive-proactive,p023,c10
s31,B,assertive-reactive,p003,C,non-assertive-proactive,p003,c11
s32,A,assertive-proactive,p016,D,non-assertive-reactive,p013,c11
s33,D,non-assertive-reactive,p022,A,assertive-proactive,p022,c11
s34,C,non-assertive-proactive,p003,B,assertive-proactive,p002,c12
s35,D,non-assertive-reactive,p019,A,assertive-proactive,p012,c12
s36,A,assertive-proactive,p027,D,non-assertive-reactive,p027,c12
s37,A,assertive-proactive,p009,D,non-assertive-reactive,p001,c13
s38,B,assertive-reactive,p011,C,non-assertive-proactive,p020,c13
s39,C,non-assertive-proactive,p021,B,assertive-reactive,p021,c13
s40,C,non-assertive-proactive,p002,B,assertive-reactive,p002,c14
s41,D,non-assertive-reactive,p013,A,assertive-proactive,p013,c14
s42,A,assertive-proactive,p027,D,non-assertive-reactive,p030,c14
s43,D,non-assertive-reactive,p008,A,assertive-proactive,p008,c15
s44,C,non-assertive-proactive,p018,B,assertive-reactive,p019,c15
s45,B,assertive-reactive,p028,C,non-assertive-proactive,p028,c15
s46,B,assertive-reactive,p010,C,non-assertive-proactive,p002,c16
s47,A,assertive-proactive,p016,D,non-assertive-reactive,p010,c16
s48,D,non-assertive-reactive,p029,A,assertive-proactive,p024,c16
