uta7_uta11_scenario_id,uta11_id_clinician,category_level,expertise_level,patient_severity_real_level,uta11_preferences_q1,uta11_preferences_q2,uta11_preferences_q3,uta11_preferences_q4,uta11_preferences_q5,uta11_preferences_q6,uta11_preferences_q7,uta11_preferences_q8,uta11_preferences_q9,uta7_id
s031,c11,Senior,Expert,low,3,2,3,1,1,1,7,6,7,c01
s032,c11,Senior,Expert,medium,3,2,3,1,1,1,7,7,7,c01
s033,c11,Senior,Expert,high,3,2,3,1,1,1,7,7,6,c01
s034,c12,Senior,Expert,low,3,3,3,2,2,2,7,7,6,c50
s035,c12,Senior,Expert,medium,3,3,3,2,2,2,7,7,7,c50
s036,c12,Senior,Expert,high,3,3,3,2,2,2,6,7,7,c50
s037,c13,Senior,Expert,low,1,1,1,1,1,1,7,6,7,c51
s038,c13,Senior,Expert,medium,1,1,1,1,1,1,7,7,6,c51
s039,c13,Senior,Expert,high,1,1,1,1,1,1,7,7,7,c51
s040,c14,Senior,Expert,low,1,1,1,7,7,7,6,7,7,c17
s041,c14,Senior,Expert,medium,1,1,1,7,7,7,7,7,7,c17
s042,c14,Senior,Expert,high,1,1,1,7,7,7,7,6,7,c17
s043,c15,Senior,Expert,low,4,7,7,6,6,6,7,6,7,c11
s044,c15,Senior,Expert,medium,4,7,7,6,6,6,7,6,7,c11
s045,c15,Senior,Expert,high,4,7,7,6,6,6,7,7,7,c11
s046,c16,Senior,Expert,low,7,7,7,7,7,7,7,7,7,c52
s047,c16,Senior,Expert,medium,7,7,7,7,7,7,7,7,6,c52
s048,c16,Senior,Expert,high,7,7,7,7,7,7,6,7,7,c52
s061,c21,Senior,Expert,low,4,2,2,7,7,7,5,6,6,c08
s062,c21,Senior,Expert,medium,4,2,2,7,7,7,6,6,5,c08
s063,c21,Senior,Expert,high,4,2,2,7,7,7,6,6,5,c08
s064,c22,Middle,Expert,low,3,6,7,7,7,7,6,6,6,c09
s065,c22,Middle,Expert,medium,3,6,7,7,7,7,4,5,5,c09
s066,c22,Middle,Expert,high,3,6,7,7,7,7,5,5,4,c09
s067,c23,Senior,Expert,low,1,1,1,7,7,7,5,4,5,c10
s068,c23,Senior,Expert,medium,1,1,1,7,7,7,6,6,5,c10
s069,c23,Senior,Expert,high,1,1,1,7,7,7,6,6,6,c10
s070,c24,Middle,Expert,low,1,1,2,3,3,3,2,3,3,c12
s071,c24,Middle,Expert,medium,1,1,2,3,3,3,1,2,2,c12
s072,c24,Middle,Expert,high,1,1,2,3,3,3,2,1,2,c12
s073,c25,Senior,Expert,low,1,1,1,7,7,7,6,4,6,c13
s074,c25,Senior,Expert,medium,1,1,1,7,7,7,3,5,4,c13
s075,c25,Senior,Expert,high,1,1,1,7,7,7,6,6,7,c13
s076,c26,Senior,Expert,low,5,4,4,7,7,7,6,7,6,c14
