uta7_uta11_scenario_id,uta11_id_clinician,category_level,expertise_level,patient_severity_real_level,uta7_trust_physician_assistant_understanding,uta7_trust_physician_assistant_capability,uta7_trust_physician_assistant_benevolence,uta11_trust_pysician_assistant_personalized_understanding,uta11_trust_pysician_assistant_personalized_capability,uta11_trust_pysician_assistant_personalized_benevolence,uta7_id
s001,c01,Intern,Novice,low,18,6,11,19,18,19,c46
s002,c01,Intern,Novice,medium,18,6,11,19,19,19,c46
s003,c01,Intern,Novice,high,17,6,11,19,19,19,c46
s004,c02,Intern,Novice,low,18,8,13,17,17,18,c06
s005,c02,Intern,Novice,medium,18,8,13,17,17,18,c06
s006,c02,Intern,Novice,high,18,8,13,18,18,18,c06
s007,c03,Intern,Novice,low,19,19,17,20,20,20,c47
s008,c03,Intern,Novice,medium,19,19,17,20,20,20,c47
s009,c03,Intern,Novice,high,19,19,17,19,19,19,c47
s010,c04,Intern,Novice,low,18,18,16,19,20,19,c44
s011,c04,Intern,Novice,medium,18,18,16,19,20,19,c44
s012,c04,Intern,Novice,high,18,18,16,20,20,19,c44
s013,c05,Junior,Novice,low,20,20,20,19,19,19,c36
s014,c05,Junior,Novice,medium,20,20,20,19,19,19,c36
s015,c05,Junior,Novice,high,20,20,20,19,19,19,c36
s016,c06,Junior,Novice,low,20,12,18,20,13,20,c15
s017,c06,Junior,Novice,medium,20,12,18,20,18,20,c15
s018,c06,Junior,Novice,high,20,12,18,20,20,20,c15
s019,c07,Junior,Novice,low,20,20,20,20,20,18,c05
s020,c07,Junior,Novice,medium,20,20,20,18,18,13,c05
s021,c07,Junior,Novice,high,20,20,20,19,18,12,c05
s022,c08,Intern,Novice,low,20,20,20,20,20,20,c33
s023,c08,Intern,Novice,medium,20,20,20,20,19,16,c33
s024,c08,Intern,Novice,high,20,20,20,20,20,20,c33
s025,c09,Junior,Novice,low,19,11,19,20,18,18,c48
s026,c09,Junior,Novice,medium,6,11,6,12,12,16,c48
s027,c09,Junior,Novice,high,19,11,17,18,18,12,c48
s028,c10,Intern,Novice,low,18,18,18,20,20,20,c49
s029,c10,Intern,Novice,medium,18,18,18,20,20,20,c49
s030,c10,Intern,Novice,high,18,18,18,20,20,20,c49
s031,c11,Senior,Expert,low,20,17,20,20,20,20,c01
s032,c11,Senior,Expert,medium,20,17,20,20,19,20,c01
s033,c11,Senior,Expert,high,20,17,20,20,20,20,c01
s034,c12,Senior,Expert,low,18,16,16,20,20,20,c50
s035,c12,Senior,Expert,medium,16,9,7,18,19,13,c50
s036,c12,Senior,Expert,high,18,9,16,20,17,20,c50
s037,c13,Senior,Expert,low,19,17,17,20,18,18,c51
s038,c13,Senior,Expert,medium,18,18,18,20,20,20,c51
s039,c13,Senior,Expert,high,8,18,18,16,20,20,c51
s040,c14,Senior,Expert,low,20,19,14,17,17,18,c17
s041,c14,Senior,Expert,medium,20,19,14,16,15,17,c17
s042,c14,Senior,Expert,high,20,19,14,20,19,11,c17
s043,c15,Senior,Expert,low,19,19,2,19,19,12,c11
s044,c15,Senior,Expert,medium,19,19,2,20,20,15,c11
s045,c15,Senior,Expert,high,19,19,2,20,20,12,c11
s046,c16,Senior,Expert,low,18,18,9,20,20,17,c52
s047,c16,Senior,Expert,medium,18,18,8,20,20,15,c52
s048,c16,Senior,Expert,high,18,18,10,20,20,20,c52
s049,c17,Junior,Novice,low,2,17,18,15,17,19,c02
s050,c17,Junior,Novice,medium,2,17,18,15,17,17,c02
s051,c17,Junior,Novice,high,2,17,18,15,17,18,c02
s052,c18,Junior,Novice,low,20,20,20,18,18,19,c03
s053,c18,Junior,Novice,medium,20,20,20,18,18,16,c03
s054,c18,Junior,Novice,high,20,20,20,18,18,17,c03
s055,c19,Junior,Novice,low,20,20,20,17,17,19,c04
s056,c19,Junior,Novice,medium,20,20,20,17,17,17,c04
s057,c19,Junior,Novice,high,20,20,20,17,17,20,c04
s058,c20,Junior,Novice,low,20,16,15,18,16,19,c07
s059,c20,Junior,Novice,medium,20,16,15,18,16,18,c07
s060,c20,Junior,Novice,high,20,16,15,18,16,16,c07
s061,c21,Senior,Expert,low,20,20,20,18,18,14,c08
s062,c21,Senior,Expert,medium,20,20,20,18,18,14,c08
s063,c21,Senior,Expert,high,20,20,20,18,18,14,c08
s064,c22,Middle,Expert,low,20,17,15,20,18,15,c09
s065,c22,Middle,Expert,medium,20,17,15,20,18,15,c09
s066,c22,Middle,Expert,high,20,17,15,20,18,15,c09
s067,c23,Senior,Expert,low,20,20,15,18,18,13,c10
s068,c23,Senior,Expert,medium,20,20,15,18,18,13,c10
s069,c23,Senior,Expert,high,20,20,15,18,18,13,c10
s070,c24,Middle,Expert,low,19,19,12,20,19,16,c12
s071,c24,Middle,Expert,medium,19,19,12,20,20,16,c12
s072,c24,Middle,Expert,high,19,19,12,20,20,16,c12
s073,c25,Senior,Expert,low,20,20,6,18,17,10,c13
s074,c25,Senior,Expert,medium,20,20,6,18,17,10,c13
s075,c25,Senior,Expert,high,20,20,6,18,17,10,c13
s076,c26,Senior,Expert,low,20,20,19,18,18,12,c14
s077,c26,Senior,Expert,medium,20,20,19,18,18,12,c14
s078,c26,Senior,Expert,high,20,20,19,18,18,12,c14
