uta7_uta11_scenario_id,uta11_id_clinician,category_level,expertise_level,patient_severity_real_level,uta7_workload_q1,uta7_workload_q2,uta7_workload_q3,uta7_workload_q4,uta7_workload_q5,uta7_workload_q6,uta11_workload_q1,uta11_workload_q2,uta11_workload_q3,uta11_workload_q4,uta11_workload_q5,uta11_workload_q6,uta7_id
s001,c01,Intern,Novice,low,4,2,4,14,4,2,2,1,2,16,2,1,c46
s002,c01,Intern,Novice,medium,4,2,4,15,4,2,2,1,2,17,2,1,c46
s003,c01,Intern,Novice,high,4,2,4,15,4,2,2,1,2,17,2,1,c46
s004,c02,Intern,Novice,low,17,11,18,5,14,7,3,3,5,17,3,1,c06
s005,c02,Intern,Novice,medium,17,11,18,5,14,7,5,5,5,14,3,3,c06
s006,c02,Intern,Novice,high,17,11,18,5,14,7,7,5,8,17,4,4,c06
s007,c03,Intern,Novice,low,7,2,7,14,6,5,5,1,5,16,5,4,c47
s008,c03,Intern,Novice,medium,11,2,9,15,11,5,9,1,7,17,9,4,c47
s009,c03,Intern,Novice,high,14,3,10,14,15,9,11,2,8,15,13,7,c47
s010,c04,Intern,Novice,low,6,4,5,14,7,2,2,3,3,20,3,2,c44
s011,c04,Intern,Novice,medium,6,4,5,14,7,2,3,3,3,19,2,2,c44
s012,c04,Intern,Novice,high,6,4,5,14,7,2,2,2,2,20,2,2,c44
s013,c05,Junior,Novice,low,1,1,1,19,1,1,2,1,1,19,1,1,c36
s014,c05,Junior,Novice,medium,1,1,1,19,1,1,2,1,1,19,1,1,c36
s015,c05,Junior,Novice,high,1,1,1,19,1,1,1,1,1,19,1,1,c36
s016,c06,Junior,Novice,low,4,2,12,18,2,1,2,1,2,8,2,1,c15
s017,c06,Junior,Novice,medium,4,2,12,18,2,1,8,2,1,17,2,1,c15
s018,c06,Junior,Novice,high,4,2,12,18,2,1,1,2,1,20,1,1,c15
s019,c07,Junior,Novice,low,5,1,4,20,3,3,3,2,2,17,2,1,c05
s020,c07,Junior,Novice,medium,5,1,4,20,3,3,2,3,2,15,3,3,c05
s021,c07,Junior,Novice,high,5,1,4,20,3,3,2,3,2,15,2,2,c05
s022,c08,Intern,Novice,low,1,1,1,20,1,1,1,1,1,20,1,1,c33
s023,c08,Intern,Novice,medium,1,1,1,20,1,1,1,1,1,18,1,1,c33
s024,c08,Intern,Novice,high,1,1,1,20,1,1,1,1,1,20,1,1,c33
s025,c09,Junior,Novice,low,2,2,5,13,6,11,1,1,3,15,5,10,c48
s026,c09,Junior,Novice,medium,5,3,7,4,12,13,4,1,5,2,13,13,c48
s027,c09,Junior,Novice,high,5,4,11,12,4,4,6,2,13,14,2,2,c48
